value avl abb
221 12 9
6313 12 9
3277 13 10
3131 12 10
880 13 9
750 14 10
1555 16 11
7244 13 10
6997 18 11
3802 10 11
105 8 9
29 10 10
8739 10 9
5095 11 9
6737 10 10
3558 9 10
6780 11 11
1731 15 10
9127 9 9
1888 11 11
9170 11 9
8851 9 10
4397 10 10
316 11 9
395 10 10
7856 16 9
4284 10 10
3350 15 10
4229 12 10
9934 11 10
8467 12 11
802 13 9
6248 15 10
8096 17 11
286 9 10
3480 12 11
5199 10 11
1841 14 9
724 15 10
8548 9 10
1995 16 10
7182 9 11
8577 10 11
7087 15 10
8629 8 10
1666 14 10
645 10 9
5409 12 11
3397 7 11
9772 12 10
3649 5 10
8919 11 10
4975 13 10
8047 20 11
5588 15 8
1722 15 10
2255 12 11
9872 12 10
5072 14 11
2836 11 9
6159 11 10
9891 11 10
3639 6 10
8759 10 10
4340 11 10
3925 14 10
2239 13 12
9539 13 11
2118 15 11
9316 14 11
4439 9 9
4113 11 11
6498 12 9
3016 10 9
1200 11 9
5127 12 9
4683 8 11
1845 11 10
6888 15 10
4432 9 9
7969 19 10
537 12 10
3352 15 10
2944 15 10
4936 10 11
8940 10 11
4666 8 11
3543 9 11
5164 12 12
6091 10 9
6380 11 10
1323 14 10
2334 10 10
6371 14 11
6434 14 10
6674 9 10
6648 12 11
8674 10 11
2565 10 10
8766 10 10
4342 11 10
7004 18 11
2879 17 11
7192 9 11
6373 13 10
432 13 11
2319 9 9
1056 14 10
2277 12 11
5559 14 10
1840 14 9
6599 14 9
2448 9 9
1544 16 10
9543 13 11
7385 11 8
6836 12 11
562 10 10
7280 13 9
8353 10 8
3005 11 10
3660 3 10
6028 10 10
5339 11 11
31 10 10
2463 11 10
8366 10 9
6679 9 10
7489 14 9
931 13 10
1797 16 10
1831 15 9
4288 12 11
1029 11 10
9023 14 9
661 9 9
1461 14 10
7694 19 10
8069 18 10
90 10 9
3253 13 10
9909 11 10
6689 12 10
5701 11 10
7806 18 8
2585 7 10
9438 18 11
4642 12 10
9499 18 10
6719 10 8
2995 11 10
2504 13 10
6731 10 10
9024 14 9
4195 15 12
3115 13 11
1487 16 9
2561 10 10
6146 9 9
5328 11 11
3493 12 11
7944 19 11
7159 8 10
7781 17 10
5325 11 11
2534 14 10
8442 11 10
6786 11 11
228 12 9
2863 17 11
3228 14 11
9833 10 10
2772 17 10
6270 8 7
1886 11 11
6930 15 10
8855 9 10
1325 14 10
1573 14 9
8354 11 10
4396 10 10
920 13 10
7210 14 11
7479 13 9
6296 10 9
1405 16 10
594 12 9
4135 12 11
3967 15 11
3093 11 10
9463 20 11
3812 10 11
7389 14 10
6622 12 11
7945 18 9
2714 14 10
9156 12 10
2739 17 10
5852 14 9
5736 11 9
5602 11 9
9080 15 10
1921 13 11
8374 12 9
5350 9 11
3808 10 11
5305 10 11
557 12 10
1485 17 10
3230 14 11
5263 11 11
2233 13 12
502 12 10
2473 11 10
9712 11 9
6799 8 8
231 12 9
6659 12 11
934 13 10
550 11 8
9752 12 9
398 10 10
4362 11 10
7141 11 10
3372 15 10
2307 12 11
9855 12 11
8881 11 10
1398 16 10
5707 13 11
969 11 9
7000 18 11
1139 14 10
2891 17 11
1726 15 10
6490 11 9
6699 12 11
3383 10 8
3399 7 11
4536 11 12
6613 11 10
8663 11 11
6769 11 11
3468 10 11
1136 14 10
6481 11 9
267 12 10
7719 18 10
3140 13 11
7553 16 9
8269 15 11
9244 15 11
7951 20 11
2631 15 11
6385 11 10
7676 18 11
1290 13 10
2592 7 10
2909 17 11
9040 14 9
4651 9 9
3878 13 11
6040 10 10
5791 8 9
6769 11 11
7767 15 10
8633 7 9
9820 14 10
1150 14 10
2032 12 10
4356 11 10
4116 8 8
7047 18 11
1125 14 10
7584 11 9
8184 19 11
7607 16 11
7851 19 10
5903 13 9
7099 15 10
1756 15 10
4173 15 12
6344 13 10
6060 12 10
3156 14 9
9081 11 7
3736 11 11
799 13 9
1674 12 8
6645 12 11
9839 10 10
6325 12 9
6875 12 10
2232 8 9
8468 12 11
3645 5 10
9999 8 9
3453 8 10
9817 14 10
7501 15 9
1838 14 9
4174 15 12
1617 16 10
8885 11 10
5299 10 11
5553 13 9
3421 9 11
9258 16 10
3404 7 11
5677 8 8
6358 13 10
1513 16 10
6202 12 9
9054 14 9
7573 13 9
5710 13 11
8135 22 12
1309 15 10
6509 13 10
9809 14 10
4306 12 11
2701 14 10
2487 13 10
1181 9 10
1285 13 10
7307 10 10
1178 9 10
1284 10 6
7113 10 8
996 10 9
8785 10 10
8951 9 11
5170 12 11
6755 9 10
4188 15 12
6821 12 11
2308 12 11
7610 16 11
2432 13 11
2065 9 10
9639 13 11
8790 10 10
3578 9 10
5841 12 9
4196 12 9
1151 11 7
1551 16 11
2331 10 10
8812 10 10
4413 9 10
8493 12 11
9470 19 10
3466 10 11
7332 11 10
7003 18 11
4751 9 11
4639 13 10
8182 18 10
2387 9 10
8104 17 10
5530 14 10
1172 13 10
3407 3 9
7052 18 11
4279 14 10
7596 12 9
3873 13 11
6588 15 10
1558 16 11
6305 12 10
5005 12 10
1197 11 9
1447 14 10
8583 9 10
7038 18 11
1995 16 10
6086 10 9
4941 13 10
4327 12 11
1250 11 9
9354 13 11
9172 11 9
720 15 10
2820 9 10
6504 13 10
4075 11 10
3923 14 10
7495 15 10
8609 8 9
6310 12 9
1952 15 10
4139 12 11
3835 8 9
5359 9 11
1191 11 9
8114 17 10
2955 15 10
1417 16 11
1054 11 9
865 12 8
4074 11 10
2411 9 10
8414 13 10
5522 14 10
994 10 9
1804 16 10
3869 13 11
3432 9 11
6746 10 10
8196 19 11
1034 14 11
6100 10 9
3720 9 11
8106 17 10
5273 11 11
6576 15 10
2182 13 11
9196 15 11
424 13 11
791 13 9
1859 11 10
2376 10 11
4931 9 10
5694 9 10
7735 15 8
2474 8 9
160 12 10
7043 18 11
3891 13 11
1215 11 9
7908 17 10
7966 19 10
3626 5 10
6323 12 9
9840 9 9
973 13 9
8127 16 10
3709 9 11
757 14 10
4873 11 11
8258 10 9
1792 16 10
7326 10 10
8330 9 10
6250 13 8
8951 9 11
4907 10 11
8432 11 10
4499 9 11
5331 11 11
9224 15 11
6358 13 10
7707 19 10
507 12 10
8404 13 10
1794 16 10
9333 13 11
8565 9 10
8837 8 10
3225 11 9
9780 15 8
6746 10 10
7543 16 9
9758 12 9
9421 20 11
3735 11 11
7083 12 9
7548 16 9
3796 10 11
4193 15 12
8774 10 10
2054 12 10
5985 11 9
2452 11 10
385 11 10
2235 13 12
1403 16 10
1644 17 11
7020 16 10
2254 12 11
6975 15 10
2596 7 10
8613 9 10
1034 14 11
9455 18 11
7017 18 11
2828 11 9
8788 10 10
5582 15 8
